quality_id,line_id,measurement_date,total_produced,passed_inspection,failed_inspection,first_pass_yield,rework_count,scrap_count,created_date
58,18,2024-01-03,457,444,13,97.16,2,4,2024-01-03 00:00:00
59,19,2024-01-03,404,396,8,98.02,3,0,2024-01-03 00:00:00
60,20,2024-01-03,453,420,33,92.72,7,14,2024-01-03 00:00:00
61,1,2024-01-04,259,252,7,97.3,1,1,2024-01-04 00:00:00
62,2,2024-01-04,768,719,49,93.62,16,6,2024-01-04 00:00:00
63,3,2024-01-04,877,868,9,98.97,5,1,2024-01-04 00:00:00
64,4,2024-01-04,542,517,25,95.39,21,7,2024-01-04 00:00:00
65,5,2024-01-04,796,761,35,95.6,28,6,2024-01-04 00:00:00
66,6,2024-01-04,356,351,5,98.6,1,1,2024-01-04 00:00:00
67,7,2024-01-04,918,901,17,98.15,10,8,2024-01-04 00:00:00
68,8,2024-01-04,974,931,43,95.59,3,6,2024-01-04 00:00:00
69,9,2024-01-04,781,722,59,92.45,19,22,2024-01-04 00:00:00
70,10,2024-01-04,762,734,28,96.33,19,1,2024-01-04 00:00:00
71,11,2024-01-04,362,333,29,91.99,29,7,2024-01-04 00:00:00
72,12,2024-01-04,176,170,6,96.59,5,1,2024-01-04 00:00:00
73,13,2024-01-04,988,946,42,95.75,26,2,2024-01-04 00:00:00
74,14,2024-01-04,776,771,5,99.36,4,0,2024-01-04 00:00:00
75,15,2024-01-04,592,582,10,98.31,6,3,2024-01-04 00:00:00
76,16,2024-01-04,824,818,6,99.27,4,3,2024-01-04 00:00:00
77,17,2024-01-04,952,923,29,96.95,15,2,2024-01-04 00:00:00
78,18,2024-01-04,912,896,16,98.25,2,7,2024-01-04 00:00:00
79,19,2024-01-04,222,216,6,97.3,1,2,2024-01-04 00:00:00
80,20,2024-01-04,886,830,56,93.68,24,13,2024-01-04 00:00:00
81,1,2024-01-05,612,593,19,96.9,7,0,2024-01-05 00:00:00
82,2,2024-01-05,323,300,23,92.88,6,6,2024-01-05 00:00:00
83,3,2024-01-05,967,956,11,98.86,5,5,2024-01-05 00:00:00
84,4,2024-01-05,247,243,4,98.38,2,2,2024-01-05 00:00:00
85,5,2024-01-05,556,541,15,97.3,12,7,2024-01-05 00:00:00
86,6,2024-01-05,311,293,18,94.21,0,7,2024-01-05 00:00:00
87,7,2024-01-05,673,657,16,97.62,1,7,2024-01-05 00:00:00
88,8,2024-01-05,280,268,12,95.71,3,5,2024-01-05 00:00:00
89,9,2024-01-05,709,668,41,94.22,29,12,2024-01-05 00:00:00
90,10,2024-01-05,374,370,4,98.93,3,2,2024-01-05 00:00:00
91,11,2024-01-05,794,787,7,99.12,1,1,2024-01-05 00:00:00
92,12,2024-01-05,796,754,42,94.72,16,19,2024-01-05 00:00:00
93,13,2024-01-05,814,787,27,96.68,19,3,2024-01-05 00:00:00
94,14,2024-01-05,772,733,39,94.95,15,3,2024-01-05 00:00:00
95,15,2024-01-05,889,856,33,96.29,11,14,2024-01-05 00:00:00
96,16,2024-01-05,441,418,23,94.78,9,4,2024-01-05 00:00:00
97,17,2024-01-05,328,316,12,96.34,12,0,2024-01-05 00:00:00
98,18,2024-01-05,697,657,40,94.26,40,19,2024-01-05 00:00:00
99,19,2024-01-05,956,903,53,94.46,25,6,2024-01-05 00:00:00
100,20,2024-01-05,116,107,9,92.24,6,1,2024-01-05 00:00:00
101,1,2024-01-06,499,464,35,92.99,7,1,2024-01-06 00:00:00
102,2,2024-01-06,467,453,14,97.0,6,4,2024-01-06 00:00:00
103,3,2024-01-06,157,149,8,94.9,7,0,2024-01-06 00:00:00
104,4,2024-01-06,992,934,58,94.15,58,16,2024-01-06 00:00:00
105,5,2024-01-06,210,194,16,92.38,11,3,2024-01-06 00:00:00
106,6,2024-01-06,994,983,11,98.89,11,3,2024-01-06 00:00:00
107,7,2024-01-06,866,837,29,96.65,21,10,2024-01-06 00:00:00
108,8,2024-01-06,352,339,13,96.31,5,1,2024-01-06 00:00:00
109,9,2024-01-06,594,587,7,98.82,2,2,2024-01-06 00:00:00
110,10,2024-01-06,694,677,17,97.55,12,7,2024-01-06 00:00:00
111,11,2024-01-06,571,545,26,95.45,1,5,2024-01-06 00:00:00
112,12,2024-01-06,469,441,28,94.03,18,9,2024-01-06 00:00:00
113,13,2024-01-06,831,812,19,97.71,15,1,2024-01-06 00:00:00
114,14,2024-01-06,286,277,9,96.85,9,3,2024-01-06 00:00:00
115,15,2024-01-06,723,706,17,97.65,3,5,2024-01-06 00:00:00
116,16,2024-01-06,399,388,11,97.24,2,3,2024-01-06 00:00:00
117,17,2024-01-06,109,100,9,91.74,2,4,2024-01-06 00:00:00
118,18,2024-01-06,353,330,23,93.48,22,1,2024-01-06 00:00:00
119,19,2024-01-06,317,314,3,99.05,3,0,2024-01-06 00:00:00
120,20,2024-01-06,582,571,11,98.11,6,0,2024-01-06 00:00:00
121,1,2024-01-07,260,240,20,92.31,13,8,2024-01-07 00:00:00
122,2,2024-01-07,964,925,39,95.95,4,11,2024-01-07 00:00:00
123,3,2024-01-07,611,584,27,95.58,22,2,2024-01-07 00:00:00
124,4,2024-01-07,859,829,30,96.51,2,8,2024-01-07 00:00:00
125,5,2024-01-07,276,268,8,97.1,5,0,2024-01-07 00:00:00
126,6,2024-01-07,839,809,30,96.42,25,13,2024-01-07 00:00:00
127,7,2024-01-07,870,805,65,92.53,55,23,2024-01-07 00:00:00
128,8,2024-01-07,444,427,17,96.17,5,2,2024-01-07 00:00:00
129,9,2024-01-07,325,315,10,96.92,5,1,2024-01-07 00:00:00
130,10,2024-01-07,807,775,32,96.03,31,0,2024-01-07 00:00:00
131,11,2024-01-07,990,984,6,99.39,3,1,2024-01-07 00:00:00
132,12,2024-01-07,105,102,3,97.14,1,0,2024-01-07 00:00:00
133,13,2024-01-07,660,645,15,97.73,5,3,2024-01-07 00:00:00
134,14,2024-01-07,916,858,58,93.67,9,17,2024-01-07 00:00:00
135,15,2024-01-07,974,928,46,95.28,39,15,2024-01-07 00:00:00
136,16,2024-01-07,206,195,11,94.66,3,2,2024-01-07 00:00:00
137,17,2024-01-07,922,910,12,98.7,10,3,2024-01-07 00:00:00
138,18,2024-01-07,407,389,18,95.58,5,6,2024-01-07 00:00:00
139,19,2024-01-07,638,618,20,96.87,15,4,2024-01-07 00:00:00
140,20,2024-01-07,522,491,31,94.06,23,10,2024-01-07 00:00:00
141,1,2024-01-08,134,127,7,94.78,2,1,2024-01-08 00:00:00
142,2,2024-01-08,205,200,5,97.56,0,2,2024-01-08 00:00:00
143,3,2024-01-08,461,449,12,97.4,0,4,2024-01-08 00:00:00
144,4,2024-01-08,659,608,51,92.26,34,15,2024-01-08 00:00:00
145,5,2024-01-08,423,401,22,94.8,9,5,2024-01-08 00:00:00
146,6,2024-01-08,868,800,68,92.17,43,34,2024-01-08 00:00:00
147,7,2024-01-08,213,206,7,96.71,5,0,2024-01-08 00:00:00
148,8,2024-01-08,211,194,17,91.94,17,6,2024-01-08 00:00:00
149,9,2024-01-08,598,576,22,96.32,8,4,2024-01-08 00:00:00
150,10,2024-01-08,611,582,29,95.25,18,3,2024-01-08 00:00:00
151,11,2024-01-08,557,534,23,95.87,23,8,2024-01-08 00:00:00
152,12,2024-01-08,537,509,28,94.79,26,6,2024-01-08 00:00:00
153,13,2024-01-08,904,874,30,96.68,12,10,2024-01-08 00:00:00
154,14,2024-01-08,348,344,4,98.85,1,1,2024-01-08 00:00:00
155,15,2024-01-08,936,892,44,95.3,17,18,2024-01-08 00:00:00
156,16,2024-01-08,518,514,4,99.23,1,1,2024-01-08 00:00:00
157,17,2024-01-08,691,682,9,98.7,2,1,2024-01-08 00:00:00
158,18,2024-01-08,912,898,14,98.46,11,6,2024-01-08 00:00:00
159,19,2024-01-08,274,262,12,95.62,9,0,2024-01-08 00:00:00
160,20,2024-01-08,453,416,37,91.83,13,15,2024-01-08 00:00:00
161,1,2024-01-09,397,371,26,93.45,20,7,2024-01-09 00:00:00
162,2,2024-01-09,350,329,21,94.0,10,0,2024-01-09 00:00:00
163,3,2024-01-09,430,426,4,99.07,0,2,2024-01-09 00:00:00
164,4,2024-01-09,396,364,32,91.92,0,8,2024-01-09 00:00:00
165,5,2024-01-09,584,542,42,92.81,26,0,2024-01-09 00:00:00
166,6,2024-01-09,739,706,33,95.53,27,5,2024-01-09 00:00:00
167,7,2024-01-09,709,656,53,92.52,22,18,2024-01-09 00:00:00
168,8,2024-01-09,598,570,28,95.32,13,6,2024-01-09 00:00:00
169,9,2024-01-09,116,111,5,95.69,5,1,2024-01-09 00:00:00
170,10,2024-01-09,694,644,50,92.8,35,2,2024-01-09 00:00:00
171,11,2024-01-09,549,536,13,97.63,7,5,2024-01-09 00:00:00
172,12,2024-01-09,337,319,18,94.66,11,3,2024-01-09 00:00:00
173,13,2024-01-09,728,693,35,95.19,33,16,2024-01-09 00:00:00
174,14,2024-01-09,458,439,19,95.85,9,8,2024-01-09 00:00:00
175,15,2024-01-09,865,834,31,96.42,22,11,2024-01-09 00:00:00
176,16,2024-01-09,563,522,41,92.72,7,20,2024-01-09 00:00:00
177,17,2024-01-09,726,697,29,96.01,8,4,2024-01-09 00:00:00
178,18,2024-01-09,911,887,24,97.37,12,1,2024-01-09 00:00:00
179,19,2024-01-09,545,511,34,93.76,20,5,2024-01-09 00:00:00
180,20,2024-01-09,447,427,20,95.53,15,7,2024-01-09 00:00:00
181,1,2024-01-10,594,558,36,93.94,28,5,2024-01-10 00:00:00
182,2,2024-01-10,181,168,13,92.82,8,2,2024-01-10 00:00:00
183,3,2024-01-10,627,598,29,95.37,11,6,2024-01-10 00:00:00
184,4,2024-01-10,934,864,70,92.51,10,35,2024-01-10 00:00:00
185,5,2024-01-10,874,840,34,96.11,33,15,2024-01-10 00:00:00
186,6,2024-01-10,440,417,23,94.77,18,10,2024-01-10 00:00:00
187,7,2024-01-10,650,639,11,98.31,3,1,2024-01-10 00:00:00
188,8,2024-01-10,848,792,56,93.4,38,1,2024-01-10 00:00:00
189,9,2024-01-10,754,737,17,97.75,1,5,2024-01-10 00:00:00
190,10,2024-01-10,703,647,56,92.03,18,11,2024-01-10 00:00:00
191,11,2024-01-10,857,795,62,92.77,14,24,2024-01-10 00:00:00
192,12,2024-01-10,429,412,17,96.04,9,0,2024-01-10 00:00:00
193,13,2024-01-10,430,419,11,97.44,1,4,2024-01-10 00:00:00
194,14,2024-01-10,329,309,20,93.92,5,4,2024-01-10 00:00:00
195,15,2024-01-10,518,481,37,92.86,30,3,2024-01-10 00:00:00
196,16,2024-01-10,237,221,16,93.25,7,3,2024-01-10 00:00:00
197,17,2024-01-10,156,152,4,97.44,3,1,2024-01-10 00:00:00
198,18,2024-01-10,342,319,23,93.27,6,11,2024-01-10 00:00:00
199,19,2024-01-10,477,460,17,96.44,15,5,2024-01-10 00:00:00
200,20,2024-01-10,940,906,34,96.38,34,0,2024-01-10 00:00:00
201,1,2024-01-11,684,649,35,94.88,10,16,2024-01-11 00:00:00
202,2,2024-01-11,290,282,8,97.24,1,4,2024-01-11 00:00:00
203,3,2024-01-11,513,507,6,98.83,4,3,2024-01-11 00:00:00
204,4,2024-01-11,673,643,30,95.54,20,10,2024-01-11 00:00:00
205,5,2024-01-11,748,714,34,95.45,9,15,2024-01-11 00:00:00
206,6,2024-01-11,294,280,14,95.24,6,3,2024-01-11 00:00:00
207,7,2024-01-11,148,142,6,95.95,3,3,2024-01-11 00:00:00
208,8,2024-01-11,324,312,12,96.3,8,5,2024-01-11 00:00:00
209,9,2024-01-11,353,347,6,98.3,6,3,2024-01-11 00:00:00
210,10,2024-01-11,521,480,41,92.13,31,18,2024-01-11 00:00:00
211,11,2024-01-11,610,584,26,95.74,10,5,2024-01-11 00:00:00
212,12,2024-01-11,111,108,3,97.3,0,1,2024-01-11 00:00:00
213,13,2024-01-11,384,381,3,99.22,0,1,2024-01-11 00:00:00
214,14,2024-01-11,821,763,58,92.94,25,5,2024-01-11 00:00:00
215,15,2024-01-11,724,714,10,98.62,0,5,2024-01-11 00:00:00
216,16,2024-01-11,183,168,15,91.8,14,3,2024-01-11 00:00:00
217,17,2024-01-11,827,772,55,93.35,9,12,2024-01-11 00:00:00
218,18,2024-01-11,464,432,32,93.1,10,11,2024-01-11 00:00:00
219,19,2024-01-11,396,375,21,94.7,0,5,2024-01-11 00:00:00
220,20,2024-01-11,736,693,43,94.16,5,11,2024-01-11 00:00:00
221,1,2024-01-12,535,512,23,95.7,2,7,2024-01-12 00:00:00
222,2,2024-01-12,552,521,31,94.38,28,5,2024-01-12 00:00:00
223,3,2024-01-12,384,376,8,97.92,5,4,2024-01-12 00:00:00
224,4,2024-01-12,192,186,6,96.88,4,3,2024-01-12 00:00:00
225,5,2024-01-12,786,725,61,92.24,32,21,2024-01-12 00:00:00
226,6,2024-01-12,612,577,35,94.28,31,10,2024-01-12 00:00:00
227,7,2024-01-12,828,781,47,94.32,12,22,2024-01-12 00:00:00
228,8,2024-01-12,663,650,13,98.04,5,1,2024-01-12 00:00:00
229,9,2024-01-12,859,815,44,94.88,39,20,2024-01-12 00:00:00
230,10,2024-01-12,588,547,41,93.03,33,6,2024-01-12 00:00:00
231,11,2024-01-12,991,957,34,96.57,23,1,2024-01-12 00:00:00
232,12,2024-01-12,887,846,41,95.38,1,11,2024-01-12 00:00:00
233,13,2024-01-12,184,180,4,97.83,0,1,2024-01-12 00:00:00
234,14,2024-01-12,720,684,36,95.0,11,2,2024-01-12 00:00:00
235,15,2024-01-12,898,834,64,92.87,13,20,2024-01-12 00:00:00
236,16,2024-01-12,497,477,20,95.98,17,7,2024-01-12 00:00:00
237,17,2024-01-12,900,829,71,92.11,23,30,2024-01-12 00:00:00
238,18,2024-01-12,985,975,10,98.98,5,1,2024-01-12 00:00:00
239,19,2024-01-12,560,539,21,96.25,17,2,2024-01-12 00:00:00
240,20,2024-01-12,214,201,13,93.93,11,4,2024-01-12 00:00:00
241,1,2024-01-13,274,258,16,94.16,7,7,2024-01-13 00:00:00
242,2,2024-01-13,205,195,10,95.12,0,3,2024-01-13 00:00:00
243,3,2024-01-13,805,752,53,93.42,2,26,2024-01-13 00:00:00
244,4,2024-01-13,641,607,34,94.7,13,1,2024-01-13 00:00:00
245,5,2024-01-13,517,497,20,96.13,16,3,2024-01-13 00:00:00
246,6,2024-01-13,981,933,48,95.11,48,16,2024-01-13 00:00:00
247,7,2024-01-13,226,215,11,95.13,2,1,2024-01-13 00:00:00
248,8,2024-01-13,648,615,33,94.91,21,13,2024-01-13 00:00:00
249,9,2024-01-13,147,145,2,98.64,1,1,2024-01-13 00:00:00
250,10,2024-01-13,480,477,3,99.38,2,1,2024-01-13 00:00:00
251,11,2024-01-13,559,547,12,97.85,11,6,2024-01-13 00:00:00
252,12,2024-01-13,909,858,51,94.39,6,25,2024-01-13 00:00:00
253,13,2024-01-13,103,97,6,94.17,5,3,2024-01-13 00:00:00
254,14,2024-01-13,592,584,8,98.65,2,2,2024-01-13 00:00:00
255,15,2024-01-13,112,105,7,93.75,2,2,2024-01-13 00:00:00
256,16,2024-01-13,804,789,15,98.13,2,0,2024-01-13 00:00:00
257,17,2024-01-13,743,713,30,95.96,10,10,2024-01-13 00:00:00
258,18,2024-01-13,641,611,30,95.32,6,10,2024-01-13 00:00:00
259,19,2024-01-13,596,570,26,95.64,24,5,2024-01-13 00:00:00
260,20,2024-01-13,903,862,41,95.46,9,1,2024-01-13 00:00:00
261,1,2024-01-14,639,588,51,92.02,18,3,2024-01-14 00:00:00
262,2,2024-01-14,116,113,3,97.41,0,1,2024-01-14 00:00:00
263,3,2024-01-14,160,156,4,97.5,2,2,2024-01-14 00:00:00
264,4,2024-01-14,350,325,25,92.86,12,0,2024-01-14 00:00:00
265,5,2024-01-14,635,616,19,97.01,13,1,2024-01-14 00:00:00
266,6,2024-01-14,188,177,11,94.15,5,5,2024-01-14 00:00:00
267,7,2024-01-14,491,487,4,99.19,0,0,2024-01-14 00:00:00
268,8,2024-01-14,763,718,45,94.1,45,8,2024-01-14 00:00:00
269,9,2024-01-14,551,534,17,96.91,11,0,2024-01-14 00:00:00
270,10,2024-01-14,143,132,11,92.31,4,2,2024-01-14 00:00:00
271,11,2024-01-14,665,626,39,94.14,35,18,2024-01-14 00:00:00
272,12,2024-01-14,241,224,17,92.95,15,0,2024-01-14 00:00:00
273,13,2024-01-14,515,507,8,98.45,0,3,2024-01-14 00:00:00
274,14,2024-01-14,417,402,15,96.4,9,3,2024-01-14 00:00:00
275,15,2024-01-14,440,419,21,95.23,11,10,2024-01-14 00:00:00
276,16,2024-01-14,944,904,40,95.76,2,7,2024-01-14 00:00:00
277,17,2024-01-14,907,879,28,96.91,6,8,2024-01-14 00:00:00
278,18,2024-01-14,322,305,17,94.72,15,2,2024-01-14 00:00:00
279,19,2024-01-14,991,923,68,93.14,46,20,2024-01-14 00:00:00
280,20,2024-01-14,889,851,38,95.73,6,15,2024-01-14 00:00:00
281,1,2024-01-15,139,133,6,95.68,1,1,2024-01-15 00:00:00
282,2,2024-01-15,457,422,35,92.34,18,5,2024-01-15 00:00:00
283,3,2024-01-15,366,344,22,93.99,20,9,2024-01-15 00:00:00
284,4,2024-01-15,745,731,14,98.12,6,6,2024-01-15 00:00:00
285,5,2024-01-15,819,768,51,93.77,38,1,2024-01-15 00:00:00
286,6,2024-01-15,888,819,69,92.23,4,16,2024-01-15 00:00:00
287,7,2024-01-15,465,435,30,93.55,29,0,2024-01-15 00:00:00
288,8,2024-01-15,379,368,11,97.1,11,4,2024-01-15 00:00:00
289,9,2024-01-15,988,965,23,97.67,23,6,2024-01-15 00:00:00
290,10,2024-01-15,607,587,20,96.71,10,1,2024-01-15 00:00:00
291,11,2024-01-15,408,375,33,91.91,24,3,2024-01-15 00:00:00
292,12,2024-01-15,856,815,41,95.21,36,18,2024-01-15 00:00:00
293,13,2024-01-15,614,608,6,99.02,1,0,2024-01-15 00:00:00
294,14,2024-01-15,609,597,12,98.03,9,4,2024-01-15 00:00:00
295,15,2024-01-15,218,215,3,98.62,3,0,2024-01-15 00:00:00
296,16,2024-01-15,328,323,5,98.48,1,2,2024-01-15 00:00:00
297,17,2024-01-15,658,619,39,94.07,38,3,2024-01-15 00:00:00
298,18,2024-01-15,795,742,53,93.33,6,11,2024-01-15 00:00:00
299,19,2024-01-15,155,143,12,92.26,4,2,2024-01-15 00:00:00
300,20,2024-01-15,367,363,4,98.91,3,0,2024-01-15 00:00:00
301,1,2024-01-16,478,455,23,95.19,3,2,2024-01-16 00:00:00
302,2,2024-01-16,986,932,54,94.52,26,3,2024-01-16 00:00:00
303,3,2024-01-16,230,219,11,95.22,9,4,2024-01-16 00:00:00
304,4,2024-01-16,563,534,29,94.85,24,13,2024-01-16 00:00:00
305,5,2024-01-16,265,259,6,97.74,4,2,2024-01-16 00:00:00
306,6,2024-01-16,610,597,13,97.87,10,4,2024-01-16 00:00:00
307,7,2024-01-16,416,397,19,95.43,11,0,2024-01-16 00:00:00
308,8,2024-01-16,668,617,51,92.37,36,20,2024-01-16 00:00:00
309,9,2024-01-16,617,596,21,96.6,14,1,2024-01-16 00:00:00
310,10,2024-01-16,577,569,8,98.61,3,0,2024-01-16 00:00:00
311,11,2024-01-16,876,828,48,94.52,31,3,2024-01-16 00:00:00
312,12,2024-01-16,534,492,42,92.13,17,5,2024-01-16 00:00:00
313,13,2024-01-16,491,486,5,98.98,0,1,2024-01-16 00:00:00
314,14,2024-01-16,954,942,12,98.74,4,3,2024-01-16 00:00:00
315,15,2024-01-16,189,186,3,98.41,2,0,2024-01-16 00:00:00
316,16,2024-01-16,968,909,59,93.9,49,3,2024-01-16 00:00:00
317,17,2024-01-16,478,446,32,93.31,16,9,2024-01-16 00:00:00
318,18,2024-01-16,453,439,14,96.91,8,2,2024-01-16 00:00:00
319,19,2024-01-16,713,704,9,98.74,6,4,2024-01-16 00:00:00
320,20,2024-01-16,392,382,10,97.45,5,2,2024-01-16 00:00:00
321,1,2024-01-17,188,182,6,96.81,6,0,2024-01-17 00:00:00
322,2,2024-01-17,955,894,61,93.61,46,26,2024-01-17 00:00:00
323,3,2024-01-17,574,552,22,96.17,8,9,2024-01-17 00:00:00
324,4,2024-01-17,618,591,27,95.63,13,2,2024-01-17 00:00:00
325,5,2024-01-17,121,116,5,95.87,4,0,2024-01-17 00:00:00
326,6,2024-01-17,554,519,35,93.68,25,10,2024-01-17 00:00:00
327,7,2024-01-17,853,795,58,93.2,57,5,2024-01-17 00:00:00
328,8,2024-01-17,936,894,42,95.51,26,0,2024-01-17 00:00:00
329,9,2024-01-17,821,804,17,97.93,9,1,2024-01-17 00:00:00
330,10,2024-01-17,418,398,20,95.22,8,0,2024-01-17 00:00:00
331,11,2024-01-17,915,853,62,93.22,44,7,2024-01-17 00:00:00
332,12,2024-01-17,294,278,16,94.56,9,2,2024-01-17 00:00:00
333,13,2024-01-17,433,409,24,94.46,12,1,2024-01-17 00:00:00
334,14,2024-01-17,670,626,44,93.43,27,4,2024-01-17 00:00:00
335,15,2024-01-17,951,881,70,92.64,68,16,2024-01-17 00:00:00
336,16,2024-01-17,225,221,4,98.22,2,1,2024-01-17 00:00:00
337,17,2024-01-17,174,171,3,98.28,2,1,2024-01-17 00:00:00
338,18,2024-01-17,235,231,4,98.3,2,0,2024-01-17 00:00:00
339,19,2024-01-17,987,943,44,95.54,0,11,2024-01-17 00:00:00
340,20,2024-01-17,511,504,7,98.63,0,2,2024-01-17 00:00:00
341,1,2024-01-18,762,751,11,98.56,2,5,2024-01-18 00:00:00
342,2,2024-01-18,113,107,6,94.69,3,0,2024-01-18 00:00:00
343,3,2024-01-18,254,241,13,94.88,3,2,2024-01-18 00:00:00
344,4,2024-01-18,133,129,4,96.99,1,2,2024-01-18 00:00:00
345,5,2024-01-18,733,686,47,93.59,33,3,2024-01-18 00:00:00
346,6,2024-01-18,850,831,19,97.76,4,6,2024-01-18 00:00:00
347,7,2024-01-18,581,541,40,93.12,15,7,2024-01-18 00:00:00
348,8,2024-01-18,258,254,4,98.45,1,1,2024-01-18 00:00:00
349,9,2024-01-18,557,550,7,98.74,6,3,2024-01-18 00:00:00
350,10,2024-01-18,398,379,19,95.23,19,5,2024-01-18 00:00:00
351,11,2024-01-18,618,605,13,97.9,13,0,2024-01-18 00:00:00
352,12,2024-01-18,694,671,23,96.69,9,6,2024-01-18 00:00:00
353,13,2024-01-18,650,645,5,99.23,5,2,2024-01-18 00:00:00
354,14,2024-01-18,568,554,14,97.54,9,2,2024-01-18 00:00:00
355,15,2024-01-18,688,647,41,94.04,38,19,2024-01-18 00:00:00
356,16,2024-01-18,298,291,7,97.65,3,3,2024-01-18 00:00:00
357,17,2024-01-18,600,567,33,94.5,31,5,2024-01-18 00:00:00
358,18,2024-01-18,987,969,18,98.18,12,6,2024-01-18 00:00:00
359,19,2024-01-18,616,578,38,93.83,38,0,2024-01-18 00:00:00
360,20,2024-01-18,803,758,45,94.4,25,20,2024-01-18 00:00:00
361,1,2024-01-19,532,525,7,98.68,3,1,2024-01-19 00:00:00
362,2,2024-01-19,132,123,9,93.18,6,0,2024-01-19 00:00:00
363,3,2024-01-19,830,807,23,97.23,6,1,2024-01-19 00:00:00
364,4,2024-01-19,595,567,28,95.29,0,5,2024-01-19 00:00:00
365,5,2024-01-19,349,328,21,93.98,6,8,2024-01-19 00:00:00
