supplier_id,supplier_name,contact_email,phone,address,performance_rating,certification_level,lead_time_days,payment_terms,created_date
80,"Tanner, Materials",enelson@joseph-ray.com,378.550.7925x2419,"03075 Mora Fall, New Lindachester, IN 42680",4.63,ISO14001,20,2/10 Net 30,2024-11-16 08:42:38
81,Butler Materials,joseph19@wilson-nunez.com,(738)306-1744,"53494 Steven Ramp Suite 383, North Sarah, AK 31040",4.16,ISO14001,21,Net 45,2024-05-19 12:13:40
82,"Reed, Systems",aaron64@harris.biz,302.441.0386x5719,"99062 Kelly Vista Suite 655, Nelsonland, ID 18341",4.84,AS9100,11,Net 45,2024-04-28 13:56:45
83,"Rodriguez, Industries",richard85@hayes.com,312-549-0352,"8044 Anthony Lodge Suite 883, South Curtisberg, DE 02068",4.56,AS9100,29,2/10 Net 30,2024-06-18 19:45:21
84,Greer Aerospace,jamesmorales@mccoy.com,201-937-2151,"96670 Vega Extensions, Jasonburgh, KY 37182",4.12,ISO9001,29,2/10 Net 30,2024-10-26 00:42:40
85,Stephenson-Johnson Metalworks,deborahporter@mendoza.biz,983.780.6578,"4205 Anthony Valleys Suite 078, Katiebury, GA 13625",4.07,AS9100,25,Net 60,2024-07-18 15:15:21
86,Sandoval Solutions,gallagherstacie@bradford.com,(439)555-9059,"427 Christopher Fort Apt. 087, West Samanthaborough, AS 17604",4.62,NADCAP,41,Net 45,2024-09-06 07:59:20
87,Love-Sellers Materials,brian29@stark.com,456-891-5452,"528 Walker Radial Apt. 644, East Jessica, UT 75583",4.15,AS9100,27,Net 60,2024-12-08 14:43:14
88,Rosales-Townsend Industries,whitelucas@walker.com,713-655-2157x04331,"006 Oconnor Expressway, Snyderfurt, MI 72069",4.76,ISO9001,42,Net 30,2024-07-20 21:33:00
89,Garcia-Mendoza Metalworks,franciscojones@phillips.com,715-926-2181,"2962 Craig Ford, South Heidi, VA 96180",4.49,AS9100,44,2/10 Net 30,2024-03-10 16:48:35
90,"Baker, Industries",longandrea@hernandez-ward.biz,649-373-1032,"46774 Darlene Loaf Apt. 565, South Bradley, NV 61457",3.58,ISO13485,23,Net 45,2024-08-20 11:54:00
91,Perez-Adams Systems,hernandezheather@miller.net,(393)880-6868x79374,"989 David Throughway, Thompsonburgh, IL 25761",4.64,ISO13485,20,2/10 Net 30,2024-05-09 02:58:55
92,Williams Aerospace,oharris@flowers.com,001-811-368-6854x8709,"29991 Anna Courts Suite 856, Patrickfort, OK 80318",3.53,NADCAP,6,Net 60,2024-04-24 23:40:15
93,Johnson-Hill Components,christinebecker@williams-preston.com,001-330-574-5054x447,"7546 Jacob Forest, Figueroahaven, VI 49510",4.67,ISO14001,5,Net 30,2024-05-06 07:15:30
94,Robertson Manufacturing,collinswilliam@deleon.org,7235303070,"7861 John Overpass Suite 279, Maxview, WA 90790",4.43,ISO9001,11,2/10 Net 30,2024-12-08 04:09:53
95,Mitchell Metalworks,martinashley@vincent.com,+1-634-668-0072x29034,"5743 Turner Pike Suite 910, Annaport, ME 90208",4.92,ISO13485,19,Net 60,2024-03-26 22:03:35
96,Olson Metalworks,danielle44@dawson.com,230.596.5207x44666,"387 Romero Vista Apt. 824, South Davidview, VA 73774",4.95,ISO14001,10,Net 45,2024-06-08 03:56:08
97,Arroyo Metalworks,walkerjeffrey@fisher-eaton.com,594-371-7099x917,"460 Derrick Flats Suite 697, West Michelle, HI 11093",3.54,IATF16949,39,2/10 Net 30,2024-07-22 07:13:15
98,Cook-Hatfield Components,cynthia07@clark-ayala.org,001-527-712-9666x67600,"8300 Jeremy Wells, Larryville, MS 66474",4.39,ISO14001,18,Net 30,2024-12-22 10:58:49
99,"Torres, Metalworks",stephen89@morgan.com,453.326.0332x3098,"064 Brittney Causeway Apt. 001, Wallaceville, OH 33627",4.71,NADCAP,5,Net 60,2024-09-29 15:35:48
100,Miles-Harris Systems,turnerdorothy@meyer.biz,589-614-1173,"6420 Lozano Spurs, Riveratown, AL 88533",3.6,ISO14001,24,Net 30,2024-08-03 17:50:51
