impact_id,source_type,source_id,impact_type,impact_date,direct_cost,indirect_cost,recovery_amount,approved_by,created_date
62,NCM,359,Customer Credit,2024-10-11,17350.56,2348.77,4876.88,Logan Conley,2024-08-31 23:33:27
63,NCM,347,Inspection Cost,2024-10-11,21416.13,3513.04,2017.36,Robert Wilson,2024-02-24 02:16:42
64,NCM,242,Expedite Cost,2024-02-11,14225.94,4028.43,4580.18,Lisa Brown,2024-09-15 03:13:09
65,Defect,123,Expedite Cost,2024-11-18,3905.65,3049.92,2332.49,George Huff,2024-05-16 02:04:35
66,NCM,238,Scrap,2024-10-21,12182.11,1788.98,2011.46,Jennifer Martinez,2024-03-31 03:51:53
67,Defect,51,Scrap,2024-05-12,17818.83,442.88,2856.39,Kimberly Morris,2024-05-29 01:37:20
68,Defect,337,Customer Credit,2024-09-21,20185.8,288.41,275.37,Cindy Williams,2024-08-15 00:09:01
69,NCM,214,Scrap,2024-06-03,21244.94,2986.45,270.37,Arthur Hill,2024-08-23 23:03:39
70,Defect,223,Customer Credit,2024-09-16,11430.09,3279.39,689.35,Carol Wood,2024-05-01 04:01:44
71,NCM,141,Customer Credit,2024-01-03,24303.39,2029.48,90.02,David Perkins,2024-07-08 14:48:52
72,NCM,360,Rework,2024-11-15,10372.16,2981.17,4473.43,Richard Chen,2024-07-17 04:52:47
73,Defect,97,Rework,2024-05-28,21781.1,1332.22,2547.2,Christopher Hobbs,2024-09-12 15:54:56
74,Defect,151,Inspection Cost,2024-10-30,10152.7,741.92,2511.3,Adam Howe,2024-02-11 20:03:38
75,Defect,123,Expedite Cost,2024-07-19,13809.57,1041.26,2949.41,Linda Campbell,2024-04-08 12:42:43
76,NCM,96,Inspection Cost,2024-08-07,12697.83,4444.69,1409.31,Rebecca Alvarez,2024-09-25 19:03:05
77,NCM,272,Rework,2024-06-01,17295.73,4479.18,3039.19,Charles Nelson,2024-09-12 19:26:03
78,Defect,222,Rework,2024-10-17,19808.68,828.05,3808.78,David Thompson,2024-10-10 18:53:19
79,Defect,231,Expedite Cost,2024-04-03,8331.14,554.11,1017.15,Linda Love,2024-09-28 17:11:41
80,Defect,327,Warranty Claim,2024-05-24,20029.46,1743.76,1486.57,Anita Serrano,2024-06-14 12:48:42
81,Defect,303,Scrap,2024-04-13,24670.75,3135.94,4062.26,Jason Grant,2024-01-18 05:45:28
82,NCM,154,Expedite Cost,2024-11-10,7296.82,615.23,3450.29,William Davila,2024-02-20 17:11:02
83,NCM,236,Expedite Cost,2024-10-16,12645.69,1845.71,1018.61,Shari Hatfield,2024-07-14 00:22:31
84,Defect,321,Warranty Claim,2024-06-24,15361.97,784.49,4307.7,Julie Sims,2024-04-27 16:58:04
85,Defect,213,Rework,2024-07-22,21910.68,1085.48,736.15,Anthony Rodriguez,2024-06-08 09:58:30
86,NCM,244,Inspection Cost,2024-03-02,22976.84,1950.58,2957.89,Ryan Pruitt,2024-02-07 10:33:44
87,NCM,327,Rework,2024-08-01,4473.74,4388.39,300.65,Christopher Livingston Jr.,2024-02-19 05:14:07
88,NCM,368,Expedite Cost,2024-07-10,21658.97,3747.89,255.53,Daniel King,2024-11-03 17:38:20
89,NCM,261,Expedite Cost,2024-06-30,12935.89,3943.99,3046.24,Stefanie Chavez,2024-01-12 15:50:53
90,NCM,18,Scrap,2024-04-15,7103.14,2916.19,4166.54,Anthony Medina,2024-10-12 04:44:32
91,Defect,228,Customer Credit,2024-07-13,3595.77,2048.7,31.42,Allen Robertson,2024-10-19 22:56:06
92,NCM,125,Scrap,2024-10-06,7715.92,1570.57,2421.88,David Wallace,2024-05-25 00:56:02
93,Defect,336,Scrap,2024-06-19,7193.51,162.53,3806.76,Jennifer Burgess,2024-05-04 12:01:06
94,Defect,166,Customer Credit,2024-01-06,2347.93,3318.29,197.96,Crystal Rodriguez,2024-11-02 03:36:23
95,Defect,108,Expedite Cost,2024-11-17,6493.51,831.53,4431.94,David Gutierrez,2024-08-24 17:34:58
96,NCM,135,Scrap,2024-10-12,14165.49,1626.22,2887.21,Steven Jones,2024-07-05 23:54:46
97,Defect,121,Warranty Claim,2024-05-28,23639.62,3764.8,2105.3,Amy Graham,2024-04-19 08:52:57
98,NCM,302,Expedite Cost,2024-03-07,13596.56,1990.15,3949.37,Leon Thompson,2024-08-24 00:03:27
99,Defect,467,Warranty Claim,2024-02-23,13930.76,2802.05,686.51,Jimmy Lee,2024-10-09 17:53:01
100,NCM,251,Scrap,2024-10-27,13897.44,4132.58,3169.43,Derrick Rogers,2024-12-17 07:02:26
