ncm_id,incident_date,product_line,supplier_id,material_type,defect_description,quantity_affected,severity,root_cause,cost_impact,status,created_date
66,2024-03-15,Sensor Assemblies,7,Magnesium AZ31B,Material substitution without engineering approval,94,Major,Supplier change notification missed,9851.62,Under Review,2024-03-15 00:00:00
67,2024-03-15,Landing Gear,7,Copper C110,Lot traceability documentation incomplete,13,Minor,Specification interpretation error,581.08,Closed,2024-03-15 00:00:00
68,2024-03-16,Turbine Blades,3,Copper C110,Material substitution without engineering approval,180,Major,Transportation damage,5557.18,Pending Disposition,2024-03-16 00:00:00
69,2024-03-16,Control Valves,3,Tool Steel D2,Material substitution without engineering approval,31,Minor,Supplier process deviation,853.07,Closed,2024-03-16 00:00:00
70,2024-03-17,Turbine Blades,2,Carbon Fiber Composite,Incoming inspection failed - visual defects on surface,190,Major,Specification interpretation error,9410.55,Closed,2024-03-17 00:00:00
71,2024-03-17,Sensor Assemblies,2,Nickel Superalloy,Material substitution without engineering approval,28,Minor,Supplier change notification missed,1689.29,Closed,2024-03-17 00:00:00
72,2024-03-19,Composite Panels,6,Magnesium AZ31B,Dimensional variance exceeds tolerance - undersized bar stock,11,Minor,Storage condition failure,1527.97,Pending Disposition,2024-03-19 00:00:00
73,2024-03-19,Landing Gear,1,Stainless Steel 304L,Grain structure anomaly - improper heat treatment by supplier,38,Major,Supplier change notification missed,2299.2,Closed,2024-03-19 00:00:00
74,2024-03-20,Landing Gear,4,Carbon Fiber Composite,Dimensional variance exceeds tolerance - undersized bar stock,65,Critical,Raw material batch variation,6057.75,Closed,2024-03-20 00:00:00
75,2024-03-22,Landing Gear,8,Ceramic Matrix Composite,Chemical composition out of spec - carbon content high,189,Major,Documentation error,9503.87,Closed,2024-03-22 00:00:00
76,2024-03-23,Control Valves,6,Ceramic Matrix Composite,Storage damage - corrosion from improper handling,170,Major,Supplier process deviation,4856.71,Closed,2024-03-23 00:00:00
77,2024-03-24,Turbine Blades,8,Magnesium AZ31B,Certificate of Conformance missing required test data,27,Major,Raw material batch variation,3876.69,Closed,2024-03-24 00:00:00
78,2024-03-24,Sensor Assemblies,7,Magnesium AZ31B,Surface contamination detected - oil residue on raw stock,6,Minor,Specification interpretation error,1031.59,Closed,2024-03-24 00:00:00
79,2024-03-25,Landing Gear,2,Aluminum 7075-T6,Lot traceability documentation incomplete,416,Critical,Supplier change notification missed,37592.54,Closed,2024-03-25 00:00:00
80,2024-03-26,Control Valves,6,Tool Steel D2,Lot traceability documentation incomplete,7,Minor,Storage condition failure,1969.6,Closed,2024-03-26 00:00:00
81,2024-03-26,Landing Gear,7,Titanium Alloy Ti-6Al-4V,Material substitution without engineering approval,353,Critical,Specification interpretation error,35772.07,Closed,2024-03-26 00:00:00
82,2024-03-28,Engine Mounts,3,Tool Steel D2,Material hardness below specification - failed Rockwell test,119,Major,Incoming inspection escape,7274.18,Closed,2024-03-28 00:00:00
83,2024-03-28,Engine Mounts,2,Titanium Alloy Ti-6Al-4V,Chemical composition out of spec - carbon content high,200,Critical,Documentation error,45601.78,Closed,2024-03-28 00:00:00
84,2024-03-29,Hydraulic Actuators,2,Nickel Superalloy,Dimensional variance exceeds tolerance - undersized bar stock,298,Critical,Supplier change notification missed,13960.54,Open,2024-03-29 00:00:00
85,2024-03-30,Control Valves,3,Carbon Fiber Composite,Lot traceability documentation incomplete,169,Major,Raw material batch variation,8790.09,Closed,2024-03-30 00:00:00
86,2024-04-04,Engine Mounts,1,Tool Steel D2,Incoming inspection failed - visual defects on surface,198,Major,Raw material batch variation,4300.08,Closed,2024-04-04 00:00:00
87,2024-04-04,Engine Mounts,7,Aluminum 7075-T6,Surface contamination detected - oil residue on raw stock,335,Critical,Raw material batch variation,17550.6,Closed,2024-04-04 00:00:00
88,2024-04-05,Engine Mounts,6,Inconel 718,Surface contamination detected - oil residue on raw stock,82,Major,Supplier process deviation,5564.02,Closed,2024-04-05 00:00:00
89,2024-04-08,Control Valves,3,Stainless Steel 304L,Lot traceability documentation incomplete,159,Major,Raw material batch variation,6938.76,Closed,2024-04-08 00:00:00
90,2024-04-08,Composite Panels,3,Stainless Steel 304L,Dimensional variance exceeds tolerance - undersized bar stock,168,Critical,Supplier change notification missed,30185.0,Open,2024-04-08 00:00:00
91,2024-04-09,Turbine Blades,1,Titanium Alloy Ti-6Al-4V,Chemical composition out of spec - carbon content high,186,Critical,Transportation damage,28605.34,Closed,2024-04-09 00:00:00
92,2024-04-10,Engine Mounts,4,Carbon Fiber Composite,Surface contamination detected - oil residue on raw stock,293,Critical,Transportation damage,13490.02,Closed,2024-04-10 00:00:00
93,2024-04-11,Hydraulic Actuators,2,Aluminum 7075-T6,Lot traceability documentation incomplete,37,Minor,Raw material batch variation,341.22,Pending Disposition,2024-04-11 00:00:00
94,2024-04-14,Sensor Assemblies,7,Nickel Superalloy,Material hardness below specification - failed Rockwell test,258,Critical,Documentation error,42258.9,Under Review,2024-04-14 00:00:00
95,2024-04-14,Control Valves,1,Ceramic Matrix Composite,Grain structure anomaly - improper heat treatment by supplier,28,Minor,Transportation damage,1480.34,Closed,2024-04-14 00:00:00
96,2024-04-15,Hydraulic Actuators,7,Aluminum 7075-T6,Certificate of Conformance missing required test data,197,Critical,Supplier process deviation,31954.05,Closed,2024-04-15 00:00:00
97,2024-04-16,Landing Gear,2,Titanium Alloy Ti-6Al-4V,Incoming inspection failed - visual defects on surface,14,Minor,Incoming inspection escape,1794.14,Closed,2024-04-16 00:00:00
98,2024-04-17,Engine Mounts,5,Tool Steel D2,Storage damage - corrosion from improper handling,26,Minor,Documentation error,1632.94,Closed,2024-04-17 00:00:00
99,2024-04-18,Engine Mounts,8,Tool Steel D2,Storage damage - corrosion from improper handling,196,Major,Transportation damage,7816.76,Closed,2024-04-18 00:00:00
100,2024-04-19,Landing Gear,6,Ceramic Matrix Composite,Surface contamination detected - oil residue on raw stock,26,Minor,Incoming inspection escape,1030.38,Closed,2024-04-19 00:00:00
101,2024-04-20,Precision Bearings,5,Copper C110,Grain structure anomaly - improper heat treatment by supplier,78,Major,Storage condition failure,6349.9,Closed,2024-04-20 00:00:00
102,2024-04-20,Precision Bearings,6,Stainless Steel 304L,Chemical composition out of spec - carbon content high,315,Critical,Supplier change notification missed,42158.08,Closed,2024-04-20 00:00:00
103,2024-04-21,Hydraulic Actuators,4,Tool Steel D2,Material substitution without engineering approval,48,Minor,Documentation error,660.53,Closed,2024-04-21 00:00:00
104,2024-04-21,Engine Mounts,4,Stainless Steel 304L,Grain structure anomaly - improper heat treatment by supplier,12,Minor,Storage condition failure,1088.21,Closed,2024-04-21 00:00:00
105,2024-04-22,Hydraulic Actuators,6,Magnesium AZ31B,Chemical composition out of spec - carbon content high,28,Minor,Specification interpretation error,1638.2,Pending Disposition,2024-04-22 00:00:00
106,2024-04-22,Hydraulic Actuators,6,Nickel Superalloy,Material substitution without engineering approval,84,Major,Supplier change notification missed,6453.85,Open,2024-04-22 00:00:00
107,2024-04-25,Engine Mounts,8,Nickel Superalloy,Grain structure anomaly - improper heat treatment by supplier,22,Minor,Incoming inspection escape,1208.81,Closed,2024-04-25 00:00:00
108,2024-04-27,Landing Gear,8,Inconel 718,Surface contamination detected - oil residue on raw stock,100,Major,Documentation error,4934.55,Open,2024-04-27 00:00:00
109,2024-04-30,Precision Bearings,2,Carbon Fiber Composite,Material hardness below specification - failed Rockwell test,430,Critical,Supplier process deviation,40274.18,Closed,2024-04-30 00:00:00
110,2024-05-03,Precision Bearings,5,Ceramic Matrix Composite,Chemical composition out of spec - carbon content high,76,Major,Documentation error,3166.12,Closed,2024-05-03 00:00:00
111,2024-05-07,Control Valves,6,Tool Steel D2,Storage damage - corrosion from improper handling,472,Critical,Supplier process deviation,41256.96,Closed,2024-05-07 00:00:00
112,2024-05-07,Landing Gear,3,Aluminum 7075-T6,Surface contamination detected - oil residue on raw stock,22,Minor,Storage condition failure,1506.87,Closed,2024-05-07 00:00:00
113,2024-05-08,Control Valves,4,Stainless Steel 304L,Surface contamination detected - oil residue on raw stock,64,Major,Supplier process deviation,6486.46,Closed,2024-05-08 00:00:00
114,2024-05-10,Composite Panels,5,Carbon Fiber Composite,Surface contamination detected - oil residue on raw stock,29,Minor,Raw material batch variation,1735.7,Closed,2024-05-10 00:00:00
115,2024-05-10,Engine Mounts,7,Nickel Superalloy,Material hardness below specification - failed Rockwell test,118,Major,Incoming inspection escape,2353.47,Closed,2024-05-10 00:00:00
116,2024-05-12,Composite Panels,8,Ceramic Matrix Composite,Certificate of Conformance missing required test data,6,Minor,Specification interpretation error,750.35,Closed,2024-05-12 00:00:00
117,2024-05-12,Sensor Assemblies,4,Nickel Superalloy,Dimensional variance exceeds tolerance - undersized bar stock,357,Critical,Supplier change notification missed,36655.54,Closed,2024-05-12 00:00:00
118,2024-05-15,Composite Panels,6,Nickel Superalloy,Storage damage - corrosion from improper handling,94,Major,Specification interpretation error,3238.89,Closed,2024-05-15 00:00:00
119,2024-05-17,Landing Gear,4,Copper C110,Incoming inspection failed - visual defects on surface,25,Major,Supplier change notification missed,7417.63,Closed,2024-05-17 00:00:00
120,2024-05-17,Engine Mounts,1,Stainless Steel 304L,Incoming inspection failed - visual defects on surface,128,Major,Storage condition failure,7517.61,Under Review,2024-05-17 00:00:00
121,2024-05-18,Engine Mounts,5,Tool Steel D2,Storage damage - corrosion from improper handling,487,Critical,Storage condition failure,12584.37,Closed,2024-05-18 00:00:00
122,2024-05-20,Turbine Blades,6,Tool Steel D2,Material hardness below specification - failed Rockwell test,131,Critical,Incoming inspection escape,9048.76,Open,2024-05-20 00:00:00
123,2024-05-21,Engine Mounts,5,Inconel 718,Grain structure anomaly - improper heat treatment by supplier,489,Critical,Supplier change notification missed,18191.88,Closed,2024-05-21 00:00:00
124,2024-05-21,Hydraulic Actuators,5,Ceramic Matrix Composite,Dimensional variance exceeds tolerance - undersized bar stock,10,Minor,Incoming inspection escape,226.88,Closed,2024-05-21 00:00:00
125,2024-05-22,Composite Panels,8,Ceramic Matrix Composite,Surface contamination detected - oil residue on raw stock,463,Critical,Raw material batch variation,15631.04,Closed,2024-05-22 00:00:00
126,2024-05-22,Precision Bearings,2,Copper C110,Dimensional variance exceeds tolerance - undersized bar stock,448,Critical,Transportation damage,29027.9,Closed,2024-05-22 00:00:00
127,2024-05-23,Control Valves,3,Tool Steel D2,Material hardness below specification - failed Rockwell test,137,Critical,Supplier process deviation,19646.5,Closed,2024-05-23 00:00:00
128,2024-05-23,Hydraulic Actuators,7,Carbon Fiber Composite,Storage damage - corrosion from improper handling,129,Critical,Documentation error,7175.5,Closed,2024-05-23 00:00:00
129,2024-05-24,Engine Mounts,5,Carbon Fiber Composite,Dimensional variance exceeds tolerance - undersized bar stock,413,Critical,Supplier process deviation,25472.49,Open,2024-05-24 00:00:00
130,2024-05-24,Hydraulic Actuators,7,Nickel Superalloy,Material substitution without engineering approval,320,Critical,Supplier change notification missed,17924.11,Closed,2024-05-24 00:00:00
131,2024-05-25,Sensor Assemblies,8,Tool Steel D2,Certificate of Conformance missing required test data,30,Minor,Transportation damage,1197.2,Closed,2024-05-25 00:00:00
132,2024-05-25,Hydraulic Actuators,8,Stainless Steel 304L,Surface contamination detected - oil residue on raw stock,357,Critical,Supplier change notification missed,14310.19,Closed,2024-05-25 00:00:00
133,2024-05-26,Precision Bearings,7,Titanium Alloy Ti-6Al-4V,Grain structure anomaly - improper heat treatment by supplier,144,Major,Supplier change notification missed,1214.88,Pending Disposition,2024-05-26 00:00:00
134,2024-05-28,Precision Bearings,3,Magnesium AZ31B,Chemical composition out of spec - carbon content high,24,Major,Specification interpretation error,3200.43,Closed,2024-05-28 00:00:00
135,2024-05-29,Engine Mounts,8,Titanium Alloy Ti-6Al-4V,Grain structure anomaly - improper heat treatment by supplier,138,Major,Transportation damage,8941.45,Pending Disposition,2024-05-29 00:00:00
136,2024-05-31,Turbine Blades,6,Nickel Superalloy,Surface contamination detected - oil residue on raw stock,118,Major,Incoming inspection escape,5185.8,Closed,2024-05-31 00:00:00
137,2024-06-01,Turbine Blades,8,Tool Steel D2,Dimensional variance exceeds tolerance - undersized bar stock,104,Major,Supplier process deviation,1609.8,Open,2024-06-01 00:00:00
138,2024-06-03,Turbine Blades,5,Titanium Alloy Ti-6Al-4V,Lot traceability documentation incomplete,372,Critical,Supplier change notification missed,27927.8,Closed,2024-06-03 00:00:00
139,2024-06-03,Engine Mounts,6,Tool Steel D2,Storage damage - corrosion from improper handling,92,Major,Raw material batch variation,6595.95,Closed,2024-06-03 00:00:00
140,2024-06-04,Composite Panels,8,Ceramic Matrix Composite,Material substitution without engineering approval,40,Minor,Raw material batch variation,168.7,Closed,2024-06-04 00:00:00
141,2024-06-06,Engine Mounts,6,Carbon Fiber Composite,Surface contamination detected - oil residue on raw stock,22,Minor,Supplier change notification missed,1472.83,Under Review,2024-06-06 00:00:00
142,2024-06-07,Turbine Blades,4,Ceramic Matrix Composite,Grain structure anomaly - improper heat treatment by supplier,118,Critical,Supplier change notification missed,18630.96,Open,2024-06-07 00:00:00
143,2024-06-08,Control Valves,5,Stainless Steel 304L,Lot traceability documentation incomplete,133,Critical,Raw material batch variation,49596.19,Closed,2024-06-08 00:00:00
144,2024-06-10,Engine Mounts,3,Copper C110,Storage damage - corrosion from improper handling,285,Critical,Documentation error,8598.63,Closed,2024-06-10 00:00:00
145,2024-06-11,Sensor Assemblies,5,Ceramic Matrix Composite,Material substitution without engineering approval,38,Minor,Incoming inspection escape,1363.39,Pending Disposition,2024-06-11 00:00:00
146,2024-06-15,Precision Bearings,8,Nickel Superalloy,Material hardness below specification - failed Rockwell test,96,Major,Incoming inspection escape,9459.46,Closed,2024-06-15 00:00:00
147,2024-06-16,Hydraulic Actuators,2,Carbon Fiber Composite,Lot traceability documentation incomplete,19,Minor,Transportation damage,524.89,Closed,2024-06-16 00:00:00
148,2024-06-18,Composite Panels,6,Aluminum 7075-T6,Grain structure anomaly - improper heat treatment by supplier,41,Minor,Transportation damage,859.72,Closed,2024-06-18 00:00:00
149,2024-06-18,Landing Gear,8,Nickel Superalloy,Dimensional variance exceeds tolerance - undersized bar stock,34,Major,Supplier change notification missed,9335.12,Closed,2024-06-18 00:00:00
150,2024-06-19,Sensor Assemblies,1,Magnesium AZ31B,Certificate of Conformance missing required test data,80,Major,Storage condition failure,2064.04,Closed,2024-06-19 00:00:00
151,2024-06-20,Control Valves,7,Ceramic Matrix Composite,Incoming inspection failed - visual defects on surface,62,Major,Supplier change notification missed,3189.12,Closed,2024-06-20 00:00:00
152,2024-06-25,Hydraulic Actuators,1,Inconel 718,Material hardness below specification - failed Rockwell test,10,Minor,Supplier process deviation,914.23,Closed,2024-06-25 00:00:00
153,2024-06-25,Hydraulic Actuators,8,Copper C110,Storage damage - corrosion from improper handling,481,Critical,Raw material batch variation,11006.75,Closed,2024-06-25 00:00:00
154,2024-06-28,Landing Gear,6,Ceramic Matrix Composite,Material hardness below specification - failed Rockwell test,92,Critical,Storage condition failure,49834.2,Closed,2024-06-28 00:00:00
155,2024-06-30,Landing Gear,8,Aluminum 7075-T6,Storage damage - corrosion from improper handling,177,Major,Incoming inspection escape,6340.33,Closed,2024-06-30 00:00:00
156,2024-07-03,Hydraulic Actuators,5,Ceramic Matrix Composite,Grain structure anomaly - improper heat treatment by supplier,37,Minor,Incoming inspection escape,1574.54,Open,2024-07-03 00:00:00
157,2024-07-04,Hydraulic Actuators,6,Tool Steel D2,Chemical composition out of spec - carbon content high,33,Minor,Incoming inspection escape,998.05,Closed,2024-07-04 00:00:00
158,2024-07-05,Composite Panels,7,Copper C110,Grain structure anomaly - improper heat treatment by supplier,483,Critical,Storage condition failure,40741.59,Closed,2024-07-05 00:00:00
159,2024-07-05,Hydraulic Actuators,8,Aluminum 7075-T6,Dimensional variance exceeds tolerance - undersized bar stock,10,Minor,Raw material batch variation,394.92,Under Review,2024-07-05 00:00:00
160,2024-07-08,Precision Bearings,2,Magnesium AZ31B,Certificate of Conformance missing required test data,168,Major,Supplier change notification missed,7189.53,Open,2024-07-08 00:00:00
161,2024-07-08,Control Valves,5,Carbon Fiber Composite,Incoming inspection failed - visual defects on surface,113,Major,Raw material batch variation,6905.63,Open,2024-07-08 00:00:00
162,2024-07-10,Hydraulic Actuators,7,Copper C110,Lot traceability documentation incomplete,121,Major,Transportation damage,5171.54,Closed,2024-07-10 00:00:00
163,2024-07-11,Sensor Assemblies,7,Inconel 718,Chemical composition out of spec - carbon content high,16,Minor,Supplier change notification missed,1749.45,Open,2024-07-11 00:00:00
164,2024-07-12,Hydraulic Actuators,6,Magnesium AZ31B,Chemical composition out of spec - carbon content high,172,Critical,Storage condition failure,44789.86,Closed,2024-07-12 00:00:00
165,2024-07-13,Composite Panels,3,Copper C110,Storage damage - corrosion from improper handling,373,Critical,Documentation error,39688.7,Closed,2024-07-13 00:00:00
