metric_id,action_id,metric_type,baseline_value,target_value,actual_value,improvement_pct,measurement_date,verified_by,created_date
90,27,Cost Reduction,0.0532,0.0266,0.0387,27.3,2024-11-02,Dorothy Mclaughlin,2024-08-15 16:17:13
91,95,Cycle Time,0.0705,0.0352,0.0241,65.8,2024-04-24,John Martinez,2024-07-31 02:01:53
92,69,Cost Reduction,0.0293,0.0146,0.0256,12.6,2024-09-01,Richard King,2024-12-15 01:38:34
93,43,Defect Rate,0.0494,0.0247,0.0232,53.0,2024-04-14,Denise Scott,2024-10-07 03:38:03
94,85,Yield,0.0543,0.0272,0.0404,25.6,2024-06-07,Lindsey Kent,2024-10-03 22:51:11
95,87,Cost Reduction,0.0929,0.0464,0.031,66.6,2024-02-25,Mary Wood,2024-06-08 13:54:39
96,64,Cost Reduction,0.0441,0.0221,0.0341,22.7,2024-01-04,Richard Young,2024-12-08 13:30:20
97,40,Cost Reduction,0.0885,0.0442,0.0744,15.9,2024-01-14,Joseph Johnson,2024-07-11 07:22:48
98,17,MTBF,0.0729,0.0365,0.0604,17.1,2024-08-08,Dr. Linda Underwood,2024-04-01 05:13:47
99,81,Cycle Time,0.0599,0.03,0.0509,15.0,2024-02-14,Nicole Gutierrez,2024-04-24 14:55:52
100,56,Cost Reduction,0.051,0.0255,0.0443,13.1,2024-08-22,Matthew Barber,2024-11-06 02:02:03
