_key,_id,_from,_to,edge_family,edge_type,field_component,join_type,origin,perspective,priority_weight,references_column,references_table,unique_id,variable_name,weight
certification:issued_date:structural:system:has_column:SYS_HAS_CER_ISS_001,manufacturing_graph_edge/certification:issued_date:structural:system:has_column:SYS_HAS_CER_ISS_001,manufacturing_graph_node/certification:entity:structural:system:none:none,manufacturing_graph_node/certification:issued_date:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_CER_ISS_001,,
certification:part_id:structural:system:has_column:SYS_HAS_CER_PAR_001,manufacturing_graph_edge/certification:part_id:structural:system:has_column:SYS_HAS_CER_PAR_001,manufacturing_graph_node/certification:entity:structural:system:none:none,manufacturing_graph_node/certification:part_id:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_CER_PAR_001,,
certification:part_id:structural:system:references:SYS_REF_CER_PAR_001,manufacturing_graph_edge/certification:part_id:structural:system:references:SYS_REF_CER_PAR_001,manufacturing_graph_node/certification:part_id:structural:system:none:none,manufacturing_graph_node/part:part_id:structural:system:none:none,structural,references,,,fk_declared,system,,part_id,part,SYS_REF_CER_PAR_001,,
certification:receipt_id:structural:system:has_column:SYS_HAS_CER_REC_001,manufacturing_graph_edge/certification:receipt_id:structural:system:has_column:SYS_HAS_CER_REC_001,manufacturing_graph_node/certification:entity:structural:system:none:none,manufacturing_graph_node/certification:receipt_id:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_CER_REC_001,,
certification:receipt_id:structural:system:references:SYS_REF_CER_REC_001,manufacturing_graph_edge/certification:receipt_id:structural:system:references:SYS_REF_CER_REC_001,manufacturing_graph_node/certification:receipt_id:structural:system:none:none,manufacturing_graph_node/receiving:receipt_id:structural:system:none:none,structural,references,,,fk_declared,system,,receipt_id,receiving,SYS_REF_CER_REC_001,,
certification:receipt_id:structural:system:references:SYS_REF_CER_REC_002,manufacturing_graph_edge/certification:receipt_id:structural:system:references:SYS_REF_CER_REC_002,manufacturing_graph_node/certification:receipt_id:structural:system:none:none,manufacturing_graph_node/receiving:receipt_id:structural:system:none:none,structural,references,,RIGHT,sql_observed,system,,receipt_id,receiving,SYS_REF_CER_REC_002,,
certification:status:semantic:Quality:resolves_to:QUA_RES_CER_STA_99CA25BB,manufacturing_graph_edge/certification:status:semantic:Quality:resolves_to:QUA_RES_CER_STA_99CA25BB,manufacturing_graph_node/certification:status:structural:system:none:none,manufacturing_graph_node/CertificationStatusState:entity:semantic:canonical:none:none,semantic,resolves_to,1,,,Quality,3,,,QUA_RES_CER_STA_99CA25BB,,1
certification:status:structural:system:has_column:SYS_HAS_CER_STA_001,manufacturing_graph_edge/certification:status:structural:system:has_column:SYS_HAS_CER_STA_001,manufacturing_graph_node/certification:entity:structural:system:none:none,manufacturing_graph_node/certification:status:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_CER_STA_001,,
certification:supplier_id:structural:system:has_column:SYS_HAS_CER_SUP_001,manufacturing_graph_edge/certification:supplier_id:structural:system:has_column:SYS_HAS_CER_SUP_001,manufacturing_graph_node/certification:entity:structural:system:none:none,manufacturing_graph_node/certification:supplier_id:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_CER_SUP_001,,
customer_order:completed_date:structural:system:has_column:SYS_HAS_CUS_COM_001,manufacturing_graph_edge/customer_order:completed_date:structural:system:has_column:SYS_HAS_CUS_COM_001,manufacturing_graph_node/customer_order:entity:structural:system:none:none,manufacturing_graph_node/customer_order:completed_date:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_CUS_COM_001,,
customer_order:created_at:structural:system:has_column:SYS_HAS_CUS_CRE_001,manufacturing_graph_edge/customer_order:created_at:structural:system:has_column:SYS_HAS_CUS_CRE_001,manufacturing_graph_node/customer_order:entity:structural:system:none:none,manufacturing_graph_node/customer_order:created_at:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_CUS_CRE_001,,
customer_order:customer_name:structural:system:has_column:SYS_HAS_CUS_CUS_001,manufacturing_graph_edge/customer_order:customer_name:structural:system:has_column:SYS_HAS_CUS_CUS_001,manufacturing_graph_node/customer_order:entity:structural:system:none:none,manufacturing_graph_node/customer_order:customer_name:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_CUS_CUS_001,,
customer_order:order_date:structural:system:has_column:SYS_HAS_CUS_ORD_001,manufacturing_graph_edge/customer_order:order_date:structural:system:has_column:SYS_HAS_CUS_ORD_001,manufacturing_graph_node/customer_order:entity:structural:system:none:none,manufacturing_graph_node/customer_order:order_date:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_CUS_ORD_001,,
customer_order:order_id:structural:system:has_column:SYS_HAS_CUS_ORD_002,manufacturing_graph_edge/customer_order:order_id:structural:system:has_column:SYS_HAS_CUS_ORD_002,manufacturing_graph_node/customer_order:entity:structural:system:none:none,manufacturing_graph_node/customer_order:order_id:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_CUS_ORD_002,,
customer_order:site_id:structural:system:has_column:SYS_HAS_CUS_SIT_001,manufacturing_graph_edge/customer_order:site_id:structural:system:has_column:SYS_HAS_CUS_SIT_001,manufacturing_graph_node/customer_order:entity:structural:system:none:none,manufacturing_graph_node/customer_order:site_id:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_CUS_SIT_001,,
customer_order:site_id:structural:system:references:SYS_REF_CUS_SIT_001,manufacturing_graph_edge/customer_order:site_id:structural:system:references:SYS_REF_CUS_SIT_001,manufacturing_graph_node/customer_order:site_id:structural:system:none:none,manufacturing_graph_node/site:site_id:structural:system:none:none,structural,references,,,fk_declared,system,,site_id,site,SYS_REF_CUS_SIT_001,,
customer_order:status:semantic:Receivables:resolves_to:REC_RES_CUS_STA_5EC8A23D,manufacturing_graph_edge/customer_order:status:semantic:Receivables:resolves_to:REC_RES_CUS_STA_5EC8A23D,manufacturing_graph_node/customer_order:status:structural:system:none:none,manufacturing_graph_node/OrderAccountingState:entity:semantic:canonical:none:none,semantic,resolves_to,1,,,Receivables,3,,,REC_RES_CUS_STA_5EC8A23D,,1
customer_order:status:structural:system:has_column:SYS_HAS_CUS_STA_001,manufacturing_graph_edge/customer_order:status:structural:system:has_column:SYS_HAS_CUS_STA_001,manufacturing_graph_node/customer_order:entity:structural:system:none:none,manufacturing_graph_node/customer_order:status:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_CUS_STA_001,,
customer_order_line:created_at:structural:system:has_column:SYS_HAS_CUS_CRE_002,manufacturing_graph_edge/customer_order_line:created_at:structural:system:has_column:SYS_HAS_CUS_CRE_002,manufacturing_graph_node/customer_order_line:entity:structural:system:none:none,manufacturing_graph_node/customer_order_line:created_at:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_CUS_CRE_002,,
customer_order_line:desired_release_date:structural:system:has_column:SYS_HAS_CUS_DES_001,manufacturing_graph_edge/customer_order_line:desired_release_date:structural:system:has_column:SYS_HAS_CUS_DES_001,manufacturing_graph_node/customer_order_line:entity:structural:system:none:none,manufacturing_graph_node/customer_order_line:desired_release_date:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_CUS_DES_001,,
customer_order_line:line_no:structural:system:has_column:SYS_HAS_CUS_LIN_001,manufacturing_graph_edge/customer_order_line:line_no:structural:system:has_column:SYS_HAS_CUS_LIN_001,manufacturing_graph_node/customer_order_line:entity:structural:system:none:none,manufacturing_graph_node/customer_order_line:line_no:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_CUS_LIN_001,,
customer_order_line:need_by_date:structural:system:has_column:SYS_HAS_CUS_NEE_001,manufacturing_graph_edge/customer_order_line:need_by_date:structural:system:has_column:SYS_HAS_CUS_NEE_001,manufacturing_graph_node/customer_order_line:entity:structural:system:none:none,manufacturing_graph_node/customer_order_line:need_by_date:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_CUS_NEE_001,,
customer_order_line:order_id:structural:system:has_column:SYS_HAS_CUS_ORD_003,manufacturing_graph_edge/customer_order_line:order_id:structural:system:has_column:SYS_HAS_CUS_ORD_003,manufacturing_graph_node/customer_order_line:entity:structural:system:none:none,manufacturing_graph_node/customer_order_line:order_id:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_CUS_ORD_003,,
customer_order_line:order_id:structural:system:references:SYS_REF_CUS_ORD_001,manufacturing_graph_edge/customer_order_line:order_id:structural:system:references:SYS_REF_CUS_ORD_001,manufacturing_graph_node/customer_order_line:order_id:structural:system:none:none,manufacturing_graph_node/customer_order:order_id:structural:system:none:none,structural,references,,,fk_declared,system,,order_id,customer_order,SYS_REF_CUS_ORD_001,,
customer_order_line:order_line_id:structural:system:has_column:SYS_HAS_CUS_ORD_004,manufacturing_graph_edge/customer_order_line:order_line_id:structural:system:has_column:SYS_HAS_CUS_ORD_004,manufacturing_graph_node/customer_order_line:entity:structural:system:none:none,manufacturing_graph_node/customer_order_line:order_line_id:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_CUS_ORD_004,,
customer_order_line:order_qty:semantic:Engineering:resolves_to:ENG_RES_CUS_ORD_704246C4,manufacturing_graph_edge/customer_order_line:order_qty:semantic:Engineering:resolves_to:ENG_RES_CUS_ORD_704246C4,manufacturing_graph_node/customer_order_line:order_qty:structural:system:none:none,manufacturing_graph_node/QuantityBasisEngineering:entity:semantic:canonical:none:none,semantic,resolves_to,1,,,Engineering,3,,,ENG_RES_CUS_ORD_704246C4,,1
customer_order_line:order_qty:semantic:Inventory_Transactions:resolves_to:INV_RES_CUS_ORD_EDED431D,manufacturing_graph_edge/customer_order_line:order_qty:semantic:Inventory_Transactions:resolves_to:INV_RES_CUS_ORD_EDED431D,manufacturing_graph_node/customer_order_line:order_qty:structural:system:none:none,manufacturing_graph_node/AllocatedQuantity:entity:semantic:canonical:none:none,semantic,resolves_to,3,,,Inventory_Transactions,3,,,INV_RES_CUS_ORD_EDED431D,,1
customer_order_line:order_qty:semantic:Manufacturing:resolves_to:MAN_RES_CUS_ORD_6ACA8F1A,manufacturing_graph_edge/customer_order_line:order_qty:semantic:Manufacturing:resolves_to:MAN_RES_CUS_ORD_6ACA8F1A,manufacturing_graph_node/customer_order_line:order_qty:structural:system:none:none,manufacturing_graph_node/QuantityBasisManufacturing:entity:semantic:canonical:none:none,semantic,resolves_to,2,,,Manufacturing,3,,,MAN_RES_CUS_ORD_6ACA8F1A,,1
customer_order_line:order_qty:structural:system:has_column:SYS_HAS_CUS_ORD_005,manufacturing_graph_edge/customer_order_line:order_qty:structural:system:has_column:SYS_HAS_CUS_ORD_005,manufacturing_graph_node/customer_order_line:entity:structural:system:none:none,manufacturing_graph_node/customer_order_line:order_qty:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_CUS_ORD_005,,
customer_order_line:part_id:structural:system:has_column:SYS_HAS_CUS_PAR_001,manufacturing_graph_edge/customer_order_line:part_id:structural:system:has_column:SYS_HAS_CUS_PAR_001,manufacturing_graph_node/customer_order_line:entity:structural:system:none:none,manufacturing_graph_node/customer_order_line:part_id:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_CUS_PAR_001,,
customer_order_line:part_id:structural:system:references:SYS_REF_CUS_PAR_001,manufacturing_graph_edge/customer_order_line:part_id:structural:system:references:SYS_REF_CUS_PAR_001,manufacturing_graph_node/customer_order_line:part_id:structural:system:none:none,manufacturing_graph_node/part:part_id:structural:system:none:none,structural,references,,,fk_declared,system,,part_id,part,SYS_REF_CUS_PAR_001,,
customer_order_line:site_id:structural:system:has_column:SYS_HAS_CUS_SIT_002,manufacturing_graph_edge/customer_order_line:site_id:structural:system:has_column:SYS_HAS_CUS_SIT_002,manufacturing_graph_node/customer_order_line:entity:structural:system:none:none,manufacturing_graph_node/customer_order_line:site_id:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_CUS_SIT_002,,
customer_order_line:site_id:structural:system:references:SYS_REF_CUS_SIT_002,manufacturing_graph_edge/customer_order_line:site_id:structural:system:references:SYS_REF_CUS_SIT_002,manufacturing_graph_node/customer_order_line:site_id:structural:system:none:none,manufacturing_graph_node/site:site_id:structural:system:none:none,structural,references,,,fk_declared,system,,site_id,site,SYS_REF_CUS_SIT_002,,
customer_order_line:unit_price:structural:system:has_column:SYS_HAS_CUS_UNI_001,manufacturing_graph_edge/customer_order_line:unit_price:structural:system:has_column:SYS_HAS_CUS_UNI_001,manufacturing_graph_node/customer_order_line:entity:structural:system:none:none,manufacturing_graph_node/customer_order_line:unit_price:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_CUS_UNI_001,,
inv_trans_dist:created_at:structural:system:has_column:SYS_HAS_INV_CRE_001,manufacturing_graph_edge/inv_trans_dist:created_at:structural:system:has_column:SYS_HAS_INV_CRE_001,manufacturing_graph_node/inv_trans_dist:entity:structural:system:none:none,manufacturing_graph_node/inv_trans_dist:created_at:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_INV_CRE_001,,
inv_trans_dist:dist_id:structural:system:has_column:SYS_HAS_INV_DIS_001,manufacturing_graph_edge/inv_trans_dist:dist_id:structural:system:has_column:SYS_HAS_INV_DIS_001,manufacturing_graph_node/inv_trans_dist:entity:structural:system:none:none,manufacturing_graph_node/inv_trans_dist:dist_id:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_INV_DIS_001,,
inv_trans_dist:dist_qty:structural:system:has_column:SYS_HAS_INV_DIS_002,manufacturing_graph_edge/inv_trans_dist:dist_qty:structural:system:has_column:SYS_HAS_INV_DIS_002,manufacturing_graph_node/inv_trans_dist:entity:structural:system:none:none,manufacturing_graph_node/inv_trans_dist:dist_qty:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_INV_DIS_002,,
inv_trans_dist:in_trans_id:structural:system:has_column:SYS_HAS_INV_INT_001,manufacturing_graph_edge/inv_trans_dist:in_trans_id:structural:system:has_column:SYS_HAS_INV_INT_001,manufacturing_graph_node/inv_trans_dist:entity:structural:system:none:none,manufacturing_graph_node/inv_trans_dist:in_trans_id:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_INV_INT_001,,
inv_trans_dist:in_trans_id:structural:system:references:SYS_REF_INV_INT_001,manufacturing_graph_edge/inv_trans_dist:in_trans_id:structural:system:references:SYS_REF_INV_INT_001,manufacturing_graph_node/inv_trans_dist:in_trans_id:structural:system:none:none,manufacturing_graph_node/inventory_transaction:transaction_id:structural:system:none:none,structural,references,,,fk_declared,system,,transaction_id,inventory_transaction,SYS_REF_INV_INT_001,,
inv_trans_dist:out_trans_id:structural:system:has_column:SYS_HAS_INV_OUT_001,manufacturing_graph_edge/inv_trans_dist:out_trans_id:structural:system:has_column:SYS_HAS_INV_OUT_001,manufacturing_graph_node/inv_trans_dist:entity:structural:system:none:none,manufacturing_graph_node/inv_trans_dist:out_trans_id:structural:system:none:none,structural,has_column,,,,system,,,,SYS_HAS_INV_OUT_001,,
inv_trans_dist:out_trans_id:structural:system:references:SYS_REF_INV_OUT_001,manufacturing_graph_edge/inv_trans_dist:out_trans_id:structural:system:references:SYS_REF_INV_OUT_001,manufacturing_graph_node/inv_trans_dist:out_trans_id:structural:system:none:none,manufacturing_graph_node/inventory_transaction:transaction_id:structural:system:none:none,structural,references,,,fk_declared,system,,transaction_id,inventory_transaction,SYS_REF_INV_OUT_001,,
inventory_allocated_20260703_000005:customer_order:manifest:Inventory_Transactions:binds_table:INV_BIN_INV_CUS_001,manufacturing_graph_edge/inventory_allocated_20260703_000005:customer_order:manifest:Inventory_Transactions:binds_table:INV_BIN_INV_CUS_001,manufacturing_graph_node/inventory_allocated_20260703_000005:entity:manifest:Inventory_Transactions:none:none,manufacturing_graph_node/customer_order:entity:structural:system:none:none,manifest,binds_table,,,,Inventory_Transactions,,,,INV_BIN_INV_CUS_001,,
inventory_allocated_20260703_000005:customer_order_line:manifest:Inventory_Transactions:binds_table:INV_BIN_INV_CUS_002,manufacturing_graph_edge/inventory_allocated_20260703_000005:customer_order_line:manifest:Inventory_Transactions:binds_table:INV_BIN_INV_CUS_002,manufacturing_graph_node/inventory_allocated_20260703_000005:entity:manifest:Inventory_Transactions:none:none,manufacturing_graph_node/customer_order_line:entity:structural:system:none:none,manifest,binds_table,,,,Inventory_Transactions,,,,INV_BIN_INV_CUS_002,,
inventory_allocated_20260703_000005:part:manifest:Inventory_Transactions:binds_table:INV_BIN_INV_PAR_001,manufacturing_graph_edge/inventory_allocated_20260703_000005:part:manifest:Inventory_Transactions:binds_table:INV_BIN_INV_PAR_001,manufacturing_graph_node/inventory_allocated_20260703_000005:entity:manifest:Inventory_Transactions:none:none,manufacturing_graph_node/part:entity:structural:system:none:none,manifest,binds_table,,,,Inventory_Transactions,,,,INV_BIN_INV_PAR_001,,
inventory_atp_20260703_000004:customer_order:manifest:Inventory_Transactions:binds_table:INV_BIN_INV_CUS_003,manufacturing_graph_edge/inventory_atp_20260703_000004:customer_order:manifest:Inventory_Transactions:binds_table:INV_BIN_INV_CUS_003,manufacturing_graph_node/inventory_atp_20260703_000004:entity:manifest:Inventory_Transactions:none:none,manufacturing_graph_node/customer_order:entity:structural:system:none:none,manifest,binds_table,,,,Inventory_Transactions,,,,INV_BIN_INV_CUS_003,,
inventory_atp_20260703_000004:customer_order_line:manifest:Inventory_Transactions:binds_table:INV_BIN_INV_CUS_004,manufacturing_graph_edge/inventory_atp_20260703_000004:customer_order_line:manifest:Inventory_Transactions:binds_table:INV_BIN_INV_CUS_004,manufacturing_graph_node/inventory_atp_20260703_000004:entity:manifest:Inventory_Transactions:none:none,manufacturing_graph_node/customer_order_line:entity:structural:system:none:none,manifest,binds_table,,,,Inventory_Transactions,,,,INV_BIN_INV_CUS_004,,
inventory_atp_20260703_000004:part:manifest:Inventory_Transactions:binds_table:INV_BIN_INV_PAR_002,manufacturing_graph_edge/inventory_atp_20260703_000004:part:manifest:Inventory_Transactions:binds_table:INV_BIN_INV_PAR_002,manufacturing_graph_node/inventory_atp_20260703_000004:entity:manifest:Inventory_Transactions:none:none,manufacturing_graph_node/part:entity:structural:system:none:none,manifest,binds_table,,,,Inventory_Transactions,,,,INV_BIN_INV_PAR_002,,
inventory_atp_20260703_000004:po_line:manifest:Inventory_Transactions:binds_table:INV_BIN_INV_POL_001,manufacturing_graph_edge/inventory_atp_20260703_000004:po_line:manifest:Inventory_Transactions:binds_table:INV_BIN_INV_POL_001,manufacturing_graph_node/inventory_atp_20260703_000004:entity:manifest:Inventory_Transactions:none:none,manufacturing_graph_node/po_line:entity:structural:system:none:none,manifest,binds_table,,,,Inventory_Transactions,,,,INV_BIN_INV_POL_001,,
inventory_atp_20260703_000004:purchase_order:manifest:Inventory_Transactions:binds_table:INV_BIN_INV_PUR_001,manufacturing_graph_edge/inventory_atp_20260703_000004:purchase_order:manifest:Inventory_Transactions:binds_table:INV_BIN_INV_PUR_001,manufacturing_graph_node/inventory_atp_20260703_000004:entity:manifest:Inventory_Transactions:none:none,manufacturing_graph_node/purchase_order:entity:structural:system:none:none,manifest,binds_table,,,,Inventory_Transactions,,,,INV_BIN_INV_PUR_001,,
inventory_atp_20260703_000004:work_order:manifest:Inventory_Transactions:binds_table:INV_BIN_INV_WOR_001,manufacturing_graph_edge/inventory_atp_20260703_000004:work_order:manifest:Inventory_Transactions:binds_table:INV_BIN_INV_WOR_001,manufacturing_graph_node/inventory_atp_20260703_000004:entity:manifest:Inventory_Transactions:none:none,manufacturing_graph_node/work_order:entity:structural:system:none:none,manifest,binds_table,,,,Inventory_Transactions,,,,INV_BIN_INV_WOR_001,,
inventory_eoq_20260703_000010:part:manifest:Inventory_Transactions:binds_table:INV_BIN_INV_PAR_003,manufacturing_graph_edge/inventory_eoq_20260703_000010:part:manifest:Inventory_Transactions:binds_table:INV_BIN_INV_PAR_003,manufacturing_graph_node/inventory_eoq_20260703_000010:entity:manifest:Inventory_Transactions:none:none,manufacturing_graph_node/part:entity:structural:system:none:none,manifest,binds_table,,,,Inventory_Transactions,,,,INV_BIN_INV_PAR_003,,
inventory_eoq_20260703_000010:po_line:manifest:Inventory_Transactions:binds_table:INV_BIN_INV_POL_002,manufacturing_graph_edge/inventory_eoq_20260703_000010:po_line:manifest:Inventory_Transactions:binds_table:INV_BIN_INV_POL_002,manufacturing_graph_node/inventory_eoq_20260703_000010:entity:manifest:Inventory_Transactions:none:none,manufacturing_graph_node/po_line:entity:structural:system:none:none,manifest,binds_table,,,,Inventory_Transactions,,,,INV_BIN_INV_POL_002,,
inventory_eoq_20260703_000010:purchase_order:manifest:Inventory_Transactions:binds_table:INV_BIN_INV_PUR_002,manufacturing_graph_edge/inventory_eoq_20260703_000010:purchase_order:manifest:Inventory_Transactions:binds_table:INV_BIN_INV_PUR_002,manufacturing_graph_node/inventory_eoq_20260703_000010:entity:manifest:Inventory_Transactions:none:none,manufacturing_graph_node/purchase_order:entity:structural:system:none:none,manifest,binds_table,,,,Inventory_Transactions,,,,INV_BIN_INV_PUR_002,,
inventory_leadtime_20260703_000003:part:manifest:Inventory_Transactions:binds_table:INV_BIN_INV_PAR_004,manufacturing_graph_edge/inventory_leadtime_20260703_000003:part:manifest:Inventory_Transactions:binds_table:INV_BIN_INV_PAR_004,manufacturing_graph_node/inventory_leadtime_20260703_000003:entity:manifest:Inventory_Transactions:none:none,manufacturing_graph_node/part:entity:structural:system:none:none,manifest,binds_table,,,,Inventory_Transactions,,,,INV_BIN_INV_PAR_004,,
inventory_leadtimedemand_20260703_000007:customer_order:manifest:Inventory_Transactions:binds_table:INV_BIN_INV_CUS_005,manufacturing_graph_edge/inventory_leadtimedemand_20260703_000007:customer_order:manifest:Inventory_Transactions:binds_table:INV_BIN_INV_CUS_005,manufacturing_graph_node/inventory_leadtimedemand_20260703_000007:entity:manifest:Inventory_Transactions:none:none,manufacturing_graph_node/customer_order:entity:structural:system:none:none,manifest,binds_table,,,,Inventory_Transactions,,,,INV_BIN_INV_CUS_005,,
